State,Searches
North Dakota,100
Minnesota,91
Massachusetts,47
New Hampshire,41
Vermont,35
Rhode Island,29
Maine,29
Connecticut,29
Wisconsin,28
South Dakota,26
Michigan,25
Alaska,24
Pennsylvania,23
Colorado,20
New Jersey,19
Nevada,19
Illinois,18
Wyoming,18
New York,18
Missouri,17
Montana,17
Nebraska,17
Delaware,15
Iowa,13
Ohio,13
Virginia,12
District of Columbia,12
Arizona,12
Maryland,12
Florida,12
North Carolina,11
Utah,10
Indiana,10
Washington,9
Idaho,9
Tennessee,9
South Carolina,9
West Virginia,8
Kansas,8
California,7
Kentucky,7
Texas,6
Oregon,6
Alabama,6
New Mexico,6
Georgia,6
Oklahoma,5
Mississippi,5
Hawaii,5
Arkansas,4
Louisiana,4