PLAYER ,TEAM ,AGE ,GP ,W ,L ,MIN ,PTS ,FGM ,FGA ,FG_PCT,3PM ,3PA ,3P_PCT,FTM ,FTA ,FT_PCT,OREB ,DREB ,REB ,AST ,TOV ,STL ,BLK ,PF ,FP ,DD2 ,TD3 ,PLUS_MINUS
Jaden McDaniels,MIN ,20,63,18,45,24,6.8,2.6,5.8,44.7,1.1,3.1,36.4,0.4,0.7,60,0.8,2.9,3.7,1.1,0.7,0.6,1,2.7,16.7,0,0,-1.6
Jabari Parker,BOS ,26,13,4,9,12.7,5.5,2.3,4.2,54.5,0.2,0.8,18.2,0.8,1,76.9,0.8,2.5,3.2,0.8,0.8,0.1,0.4,1,11.3,0,0,-1.1
JaVale McGee,DEN ,33,46,21,25,14.7,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1,1.5,65.7,1.7,3.5,5.2,0.8,1.3,0.4,1.2,2.6,18.3,1,0,-1.9
JaMychal Green,DEN ,31,58,38,20,19.3,8.1,3,6.4,46.3,1.4,3.4,39.9,0.8,1,80.7,1.5,3.3,4.8,0.9,0.9,0.4,0.4,2.5,16.8,1,0,1.7
JaKarr Sampson,IND ,28,29,14,15,10.9,4.6,1.9,3.9,49.6,0.1,0.5,20,0.7,1,65.5,0.9,1.7,2.7,0.1,0.5,0.1,0.5,1.8,9.2,0,0,0.1
Ja Morant,MEM ,21,63,33,30,32.6,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,0.9,3.1,4,7.4,3.2,0.9,0.2,1.4,35.1,14,1,1.7
JJ Redick,DAL ,37,44,22,22,16.4,7.4,2.4,6.1,39.7,1.5,4,37.1,1.1,1.2,94.2,0.1,1.4,1.5,1.2,0.8,0.3,0.1,1.1,11.1,0,0,0
Ivica Zubac,LAC ,24,72,47,25,22.3,9,3.6,5.5,65.2,0,0.1,25,1.9,2.4,78.9,2.6,4.6,7.2,1.3,1.1,0.3,0.9,2.6,22,13,0,2.5
Ish Smith,WAS ,32,44,23,21,21,6.7,2.9,6.8,43.4,0.4,1.1,36.7,0.4,0.8,57.6,0.5,2.9,3.4,3.9,0.9,0.7,0.3,1.4,18.8,0,0,1.2
Isaiah Thomas,NOP ,32,3,1,2,16.1,7.7,3,9,33.3,1,4,25,0.7,0.7,100,0.3,1,1.3,1.7,2,0.3,0,1,10.8,0,0,2.7
Isaiah Stewart,DET ,20,68,20,48,21.4,7.9,3.3,6,55.3,0.3,0.9,33.3,0.9,1.4,69.6,2.3,4.3,6.7,0.9,1,0.6,1.3,2.7,21.7,8,0,-0.9
Isaiah Roby,OKC ,23,61,19,42,23.4,8.7,3.4,7,48.3,0.5,1.8,29.4,1.4,1.9,74.4,1.5,4.1,5.6,1.8,1.9,0.9,0.6,2.7,20.6,3,0,-7.2
Isaiah Joe,PHI ,21,41,22,19,9.3,3.7,1.2,3.2,36.1,1,2.6,36.8,0.4,0.6,75,0.1,0.7,0.9,0.5,0.3,0.3,0.1,0.8,6.4,0,0,0
Isaiah Hartenstein,CLE ,23,46,20,26,12.1,5.1,2,3.7,55,0,0.1,33.3,1,1.5,64.8,1.4,2.5,3.9,1.2,1,0.4,0.8,2.3,14.5,1,0,0
Isaac Okoro,CLE ,20,67,20,47,32.4,9.6,3.5,8.3,42,0.9,3.2,29,1.7,2.3,72.6,1,2.1,3.1,1.9,1.3,0.9,0.4,2.8,18.8,1,0,-6.1
Isaac Bonga,WAS ,21,40,16,24,10.8,2,0.8,2,37,0.3,1.2,27.7,0.1,0.2,62.5,0.5,1.2,1.7,0.6,0.6,0.3,0.2,1.6,5.7,0,0,-0.9
Immanuel Quickley,NYK ,22,64,37,27,19.4,11.4,3.6,9.1,39.5,1.8,4.7,38.9,2.4,2.7,89.1,0.4,1.8,2.1,2,0.9,0.5,0.2,1.8,18,0,0,2.8
Iman Shumpert,BKN ,31,2,1,1,5.5,1,0.5,2,25,0,1.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,2.6,0,0,-0.5
Ignas Brazdeikis,ORL ,22,13,3,10,19.1,7,2.7,6.4,42.2,0.8,2.2,39.3,0.8,1.1,71.4,0.8,2.6,3.5,1.3,0.9,0.3,0.2,1.7,13.8,0,0,-2.1
Henry Ellenson,TOR ,24,2,0,2,19.2,7.5,2.5,7,35.7,1,4.5,22.2,1.5,2,75,1.5,4.5,6,2.5,0,0,0,3.5,18.5,0,0,3.5
Hassan Whiteside,SAC ,32,36,16,20,15.2,8.1,3.5,6.2,56.3,0,0,0,1.1,2.2,51.9,1.7,4.3,6,0.6,1.1,0.3,1.3,2,19.6,4,0,-2.9
Harry Giles III,POR ,23,38,23,15,9.2,2.8,1.1,2.6,43.3,0.2,0.6,34.8,0.4,0.7,59.3,0.8,2.7,3.5,0.8,0.5,0.2,0.3,1.4,9.3,0,0,-2.1
Harrison Barnes,SAC ,29,58,25,33,36.2,16.1,5.5,11.1,49.7,1.7,4.4,39.1,3.4,4.1,83,1.1,5.5,6.6,3.5,1.6,0.7,0.2,1.3,30.4,6,0,-1
Hamidou Diallo,DET ,22,52,18,34,23.6,11.6,4.3,9,47.7,0.5,1.6,34.1,2.5,3.8,64,1.1,4.1,5.2,1.9,1.5,0.8,0.5,2.6,23.1,7,0,-3.7
Greg Whittington,DEN ,28,4,3,1,3,0,0,0.8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Grayson Allen,MEM ,25,50,26,24,25.2,10.6,3.5,8.3,41.8,2.1,5.5,39.1,1.6,1.8,86.8,0.4,2.8,3.2,2.2,1,0.9,0.2,1.4,20,0,0,0.2
Grant Williams,BOS ,22,63,30,33,18.1,4.7,1.7,3.9,43.7,0.8,2,37.2,0.5,0.8,58.8,0.8,2.1,2.8,1,0.9,0.5,0.4,2.6,11.4,0,0,-0.8
Grant Riller,CHA ,24,7,2,5,3.9,2.6,1.1,1.7,66.7,0.3,0.6,50,0,0,0,0,0.1,0.1,0.4,0.1,0.1,0,0,3.7,0,0,-0.6
Gorgui Dieng,SAS ,31,38,14,24,14.5,6.8,2.2,4.3,52.1,0.8,1.8,42.9,1.5,1.8,86.6,1.1,2.6,3.7,1.3,0.8,0.7,0.4,1.5,15.6,0,0,-1.8
Gordon Hayward,CHA ,31,44,24,20,34,19.6,7.1,15,47.3,1.9,4.7,41.5,3.5,4.2,84.3,0.8,5,5.9,4.1,2.1,1.2,0.3,1.7,35.3,2,0,0.4
Goran Dragic,MIA ,35,50,30,20,26.7,13.4,4.8,11.1,43.2,1.8,4.9,37.3,2,2.4,82.8,0.5,2.9,3.4,4.4,2.4,0.7,0.2,2.3,24.2,1,0,0.8
Goga Bitadze,IND ,21,45,19,26,12.5,5.1,1.8,4.3,42.8,0.4,1.8,25.3,1,1.4,73.8,1.3,2,3.3,0.8,0.4,0.2,1.3,2.1,14.6,0,0,-0.4
Glenn Robinson III,SAC ,27,23,9,14,16.1,5.3,1.8,4.3,42.4,0.7,1.9,36.4,0.9,1,91.3,0.5,1.5,2,0.9,0.5,0.2,0.1,1,9.3,0,0,-5.7
Giannis Antetokounmpo,MIL ,26,61,40,21,33,28.1,10.3,18,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11,5.9,3.4,1.2,1.2,2.8,53.9,41,7,6.7
Georges Niang,UTA ,28,72,52,20,16,6.9,2.5,5.6,43.7,1.7,4.1,42.5,0.3,0.3,95.7,0.4,2.1,2.4,0.8,0.7,0.3,0.1,1.6,11.8,1,0,4.9
George Hill,PHI ,35,30,16,14,22.4,8.7,3.2,6.6,48.2,1,2.7,38.8,1.3,1.7,80,0.5,1.5,2,2.4,1,0.8,0.2,1,16.6,0,0,-0.3
Gary Trent Jr.,TOR ,22,58,29,29,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,0.5,2.2,2.6,1.4,0.7,1,0.2,1.6,23.2,0,0,-1
Gary Payton II,GSW ,28,10,7,3,4,2.5,1,1.3,76.9,0.2,0.4,50,0.3,0.4,75,0.2,0.9,1.1,0.1,0.1,0.6,0.1,0.8,6,0,0,0.1
Gary Harris,ORL ,26,39,15,24,27.7,9.9,3.5,8.8,40,1.2,3.6,34,1.6,2,82.1,0.5,1.5,2,2,0.9,0.7,0.3,1.8,17.4,0,0,-2.1
Gary Clark,PHI ,26,39,12,27,16.8,3.1,1,3.4,30.3,0.8,2.8,28.7,0.2,0.3,80,0.8,2.1,2.9,0.8,0.4,0.3,0.2,0.9,8.9,0,0,-2.8
Garrison Mathews,WAS ,24,64,32,32,16.2,5.5,1.5,3.7,40.9,1.2,3.1,38.4,1.3,1.5,88.4,0.3,1.1,1.4,0.4,0.2,0.5,0.1,1.7,9.3,0,0,-2.1
Garrett Temple,CHI ,35,56,25,31,27.3,7.6,2.8,6.8,41.5,1.2,3.6,33.5,0.7,0.9,80,0.5,2.3,2.9,2.2,1,0.8,0.5,2.3,17.2,0,0,0.9
Gabriel Deck,OKC ,26,10,1,9,21.2,8.4,3.2,6.7,47.8,0.2,1.5,13.3,1.8,2.2,81.8,1.6,2.4,4,2.4,0.6,0.8,0,0.9,18.6,0,0,-5.1
Gabe Vincent,MIA ,25,50,27,23,13.1,4.8,1.8,4.7,37.8,0.9,3,30.9,0.4,0.5,87,0.2,0.9,1.1,1.3,0.7,0.4,0,1.6,8.9,1,0,-1.5
Furkan Korkmaz,PHI ,23,55,39,16,19.3,9.1,3.1,7.7,40.1,1.8,4.9,37.5,1.1,1.5,73.2,0.3,1.7,2.1,1.5,0.8,0.9,0.2,1.2,16.1,0,0,2.6
Freddie Gillespie,TOR ,24,20,7,13,19.6,5.6,2.2,4.2,52.4,0,0,0,1.2,1.7,69.7,2.1,2.8,4.9,0.5,0.6,0.7,1,2.2,16.4,0,0,-3.9
Fred VanVleet,TOR ,27,52,22,30,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,0.6,3.6,4.2,6.3,1.8,1.7,0.7,2.3,39.5,5,0,2.7
Frank Ntilikina,NYK ,22,33,23,10,9.8,2.7,0.9,2.4,36.7,0.7,1.5,47.9,0.2,0.5,44.4,0.2,0.8,0.9,0.6,0.3,0.5,0.1,1.4,6.4,0,0,-1
Frank Mason III,ORL ,27,4,1,3,19.8,6.3,2.3,6,37.5,0.5,1.3,40,1.3,1.8,71.4,0.8,2.3,3,3,1.3,0,0,1.8,13.1,0,0,-4.8
Frank Kaminsky,PHX ,28,47,33,14,15.2,6.6,2.6,5.5,47.1,0.7,1.8,36.5,0.8,1.3,61.7,0.8,3.2,4,1.7,0.5,0.3,0.4,1.5,15.4,2,0,1.2
Frank Jackson,DET ,23,40,13,27,18.5,9.8,3.4,7.3,45.7,1.5,3.8,40.7,1.5,1.9,81.3,0.4,1.8,2.2,0.9,0.9,0.4,0,1.3,14,0,0,-0.3
Facundo Campazzo,DEN ,30,65,43,22,21.9,6.1,1.8,4.8,38.1,1.2,3.3,35.2,1.2,1.4,87.9,0.3,1.7,2.1,3.6,1.1,1.2,0.2,2,17.1,1,0,1.2
Evan Fournier,BOS ,28,42,18,24,30,17.1,5.9,12.9,45.7,2.8,6.7,41.3,2.6,3.3,78.8,0.2,2.8,3,3.4,1.7,1.1,0.5,2.3,28.9,0,0,-0.8
Ersan Ilyasova,UTA ,34,17,14,3,8.7,3.8,1.2,3.2,38.9,1.1,2.4,43.9,0.3,0.3,100,0.4,1.3,1.7,0.2,0.5,0.6,0.2,1.7,8,0,0,0.9
Eric Paschall,GSW ,24,40,20,20,17.4,9.5,3.7,7.5,49.7,0.5,1.4,33.3,1.7,2.4,71.3,0.7,2.5,3.2,1.3,1.1,0.3,0.2,1.7,15.6,0,0,-2.8
Eric Gordon,HOU ,32,27,10,17,29.2,17.8,5.9,13.6,43.3,2.6,7.8,32.9,3.5,4.2,82.5,0.3,1.9,2.1,2.6,1.9,0.5,0.5,1.6,25.4,0,0,-2.5
Eric Bledsoe,NOP ,31,71,31,40,29.7,12.2,4.3,10.3,42.1,1.7,5,34.1,1.9,2.7,68.7,0.4,3,3.4,3.8,1.6,0.8,0.3,1.6,23.8,4,0,-0.9
Enes Kanter,POR ,29,72,42,30,24.4,11.2,4.7,7.8,60.4,0,0.1,25,1.8,2.3,77.4,3.9,7.1,11,1.2,1.1,0.5,0.7,2.3,28.5,34,0,2.2
Elijah Hughes,UTA ,23,18,14,4,3.5,1.7,0.6,1.7,33.3,0.4,1.3,34.8,0.2,0.2,75,0.1,0.4,0.5,0.3,0.3,0.1,0.1,0.1,2.8,0,0,-2.1
Elijah Bryant,MIL ,26,1,0,1,31.6,16,6,13,46.2,1,5,20,3,3,100,2,4,6,3,4,0,1,4,26.7,0,0,11
Elfrid Payton,NYK ,27,63,36,27,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,1,2.4,3.4,3.2,1.6,0.7,0.1,1.8,20.1,0,0,-1.6
Edmond Sumner,IND ,25,53,23,30,16.2,7.5,2.8,5.3,52.5,0.7,1.7,39.8,1.3,1.6,81.9,0.3,1.4,1.8,0.9,1,0.6,0.2,1.7,12.5,0,0,-0.6
Ed Davis,MIN ,32,23,5,18,13,2.1,0.8,1.9,43.2,0,0,0,0.4,0.5,83.3,2,3,5,0.9,0.3,0.6,0.6,2.4,12.5,0,0,-2
E'Twaun Moore,PHX ,32,27,20,7,14.4,4.9,2,4.5,45.5,0.4,1.3,31.4,0.4,0.5,85.7,0.5,1.1,1.7,1.5,0.9,0.6,0.2,1.2,10.5,0,0,0.3
Dylan Windler,CLE ,24,31,11,20,16.5,5.2,1.8,4.2,43.8,0.8,2.5,33.8,0.7,0.9,77.8,0.6,2.8,3.5,1.1,1,0.6,0.4,1.2,12.9,1,0,-2
Dwight Powell,DAL ,29,58,36,22,16.6,5.9,2.1,3.3,61.9,0.1,0.4,23.8,1.7,2.1,78.2,1.4,2.7,4,1.1,0.7,0.6,0.5,2.3,15.1,1,0,1.3
Dwight Howard,PHI ,35,69,46,23,17.3,7,2.6,4.4,58.7,0.1,0.3,25,1.8,3,57.6,2.8,5.7,8.4,0.9,1.6,0.4,0.9,2.9,20.8,12,0,-1
Dwayne Bacon,ORL ,25,72,21,51,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2,2.4,82.4,0.4,2.7,3.1,1.3,0.6,0.6,0.1,1.4,18.1,0,0,-6.2
Duncan Robinson,MIA ,27,72,40,32,31.4,13.1,4.4,10,43.9,3.5,8.5,40.8,0.9,1,82.7,0.1,3.4,3.5,1.8,1.1,0.6,0.3,2.5,21.4,1,0,1.6
Drew Eubanks,SAS ,24,54,21,33,14,5.8,2.1,3.8,56.6,0,0,100,1.4,2,72.6,1.4,3.1,4.5,0.8,0.8,0.3,0.9,1.6,15.2,3,0,-1.8
Draymond Green,GSW ,31,63,35,28,31.5,7,2.7,6,44.7,0.5,2,27,1.1,1.4,79.5,0.9,6.2,7.1,8.9,3,1.7,0.8,3.1,33.4,17,6,3.8
Doug McDermott,IND ,29,66,32,34,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,0.9,2.4,3.3,1.3,0.8,0.3,0.1,1.8,20,0,0,-0.7
Dorian Finney-Smith,DAL ,28,60,36,24,32,9.8,3.7,7.8,47.2,2,5,39.4,0.5,0.7,75.6,1.6,3.8,5.4,1.7,0.8,0.9,0.4,2.3,22,1,0,3.3
Donte DiVincenzo,MIL ,24,66,44,22,27.5,10.4,3.8,9.1,42,2,5.2,37.9,0.8,1.1,71.8,1.2,4.5,5.8,3.1,1.4,1.1,0.2,1.7,24.5,5,0,4.6
Donta Hall,ORL ,23,13,3,10,13.8,5.6,1.9,2.7,71.4,0,0,0,1.8,2.6,67.6,1.8,2.9,4.8,0.8,0.6,0.4,0.8,1.4,15.5,1,0,-1.5
Donovan Mitchell,UTA ,24,53,39,14,33.4,26.4,9,20.6,43.8,3.4,8.7,38.6,5,6,84.5,0.9,3.5,4.4,5.2,2.8,1,0.3,2.2,40.6,2,0,5.4
Domantas Sabonis,IND ,25,62,29,33,36,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12,6.7,3.4,1.2,0.5,3.3,46.6,48,9,-1.5
Dillon Brooks,MEM ,25,67,36,31,29.8,17.2,6.4,15.4,41.9,1.9,5.6,34.4,2.4,2.9,81.5,0.8,2.1,2.9,2.3,1.8,1.2,0.4,3.5,27.1,0,0,2.3
Didi Louzada,NOP ,21,3,0,3,18.8,2.7,1,4.3,23.1,0.7,2.7,25,0,0,0,0.3,0.7,1,1,1,0.7,0,1.7,6.4,0,0,-3.7
Dewayne Dedmon,MIA ,31,16,11,5,13.2,7.1,2.9,4.1,70.8,0.1,0.3,20,1.3,1.7,74.1,1.8,3.6,5.4,0.8,0.8,0.6,0.4,2.3,16.6,1,0,4.3
Devonte' Graham,CHA ,26,55,23,32,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,0.4,2.3,2.7,5.4,1.5,0.9,0.1,1.4,27.5,3,0,1.8
Devontae Cacok,LAL ,24,20,8,12,4.9,2,0.9,1.5,58.6,0,0,0,0.3,0.6,45.5,0.6,1,1.6,0.1,0.3,0.3,0.2,0.4,5,0,0,2.1
Devon Dotson,CHI ,21,11,4,7,4.6,2.1,1,1.9,52.4,0.1,0.6,14.3,0,0,0,0.2,0.3,0.5,0.6,0,0.4,0,0.3,4.7,0,0,2.9
Devin Vassell,SAS ,20,62,30,32,17,5.5,2,4.9,40.6,0.8,2.4,34.7,0.7,0.8,84.3,0.4,2.4,2.8,0.9,0.4,0.7,0.3,1.4,12.8,0,0,-1
Devin Cannady,ORL ,25,8,0,8,9.3,4.3,1.4,3.5,39.3,0.8,2,37.5,0.8,0.9,85.7,0,0.6,0.6,0.1,0.3,0.6,0.1,1.1,7.2,0,0,-2.9
Devin Booker,PHX ,24,67,48,19,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34,5.1,5.9,86.7,0.5,3.7,4.2,4.3,3.1,0.8,0.2,2.7,37.1,1,0,4.9
Desmond Bane,MEM ,23,68,36,32,22.3,9.2,3.4,7.3,46.9,1.7,4,43.2,0.6,0.7,81.6,0.5,2.6,3.1,1.7,0.9,0.6,0.2,1.8,17.1,0,0,0.2
Derrick White,SAS ,26,36,18,18,29.5,15.4,5.2,12.6,41.1,2.3,6.8,34.6,2.7,3.2,85.1,0.4,2.6,3,3.5,1.3,0.7,1,2.5,28.1,0,0,2.6
Derrick Rose,NYK ,32,50,28,22,25.6,14.7,5.7,12.2,47,1,2.6,38.8,2.2,2.5,86.6,0.4,2.2,2.6,4.2,1.6,1,0.4,1.1,26.6,1,0,2.7
Derrick Jones Jr.,POR ,24,58,32,26,22.7,6.8,2.5,5.2,48.4,0.7,2.3,31.6,1,1.6,64.8,1.3,2.2,3.5,0.8,0.6,0.6,0.9,2.2,16.4,0,0,-1.1
Derrick Favors,UTA ,29,68,49,19,15.3,5.4,2.3,3.6,63.8,0,0,0,0.9,1.2,73.8,2,3.5,5.5,0.6,0.5,0.5,1,2.1,16.9,1,0,0.5
Denzel Valentine,CHI ,27,62,26,36,16.7,6.5,2.5,6.7,37.3,1.3,3.9,33.1,0.3,0.3,94.1,0.4,2.8,3.2,1.7,0.7,0.5,0.1,1.1,14,0,0,0.7
Dennis Smith Jr.,DET ,23,23,7,16,18.3,6.7,2.5,6.3,40,0.8,2.5,32.8,0.8,1.1,73.1,0.5,1.9,2.4,3.3,1.1,1,0.6,1.6,18.3,1,1,-0.8
Dennis Schroder,LAL ,27,61,38,23,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,0.5,3,3.5,5.8,2.7,1.1,0.2,2.6,29.6,6,0,1.4
Deni Avdija,WAS ,20,54,25,29,23.3,6.3,2.4,5.8,41.7,1,3.1,31.5,0.5,0.8,64.4,0.4,4.4,4.9,1.2,0.6,0.6,0.3,2.6,15.9,2,0,-1.5
Delon Wright,SAC ,29,63,21,42,27.7,10.2,3.8,8.2,46.3,1,2.7,37.2,1.6,2,80.2,1,3.2,4.3,4.4,1.3,1.6,0.5,1.2,26.9,3,0,-1.7
Dejounte Murray,SAS ,24,67,32,35,31.9,15.7,6.6,14.5,45.3,0.9,3,31.7,1.6,2,79.1,0.9,6.2,7.1,5.4,1.7,1.5,0.1,2,35.4,13,4,1.3
Deividas Sirvydis,DET ,21,20,8,12,6.7,2.1,0.7,2,35,0.5,1.4,35.7,0.2,0.3,50,0,1.5,1.5,0.3,0.3,0.1,0,0.5,4.2,0,0,-1.2
Deandre Ayton,PHX ,22,69,48,21,30.6,14.4,6.2,10,62.6,0.1,0.3,20,1.9,2.5,76.9,3.3,7.2,10.5,1.4,1.5,0.6,1.2,2.8,33.1,33,0,4
Dean Wade,CLE ,24,63,19,44,19.2,6,2.1,4.9,43.1,1.2,3.4,36.6,0.5,0.6,76.9,0.6,2.8,3.4,1.2,0.5,0.6,0.3,1.2,14,1,0,-3.5
DeMarcus Cousins,LAC ,30,41,22,19,17.4,8.9,3.2,7.4,42.6,1.1,3.3,34.8,1.4,2,72.8,1.3,5.1,6.4,1.9,1.6,0.8,0.6,2.6,22.1,7,0,-1.5
DeMar DeRozan,SAS ,31,61,27,34,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88,0.7,3.6,4.2,6.9,2,0.9,0.2,2.1,38.6,13,0,-1.7
DeAndre' Bembry,TOR ,26,51,23,28,19.1,5.7,2.3,4.5,51.3,0.3,1,26.4,0.9,1.3,68.2,0.6,2.2,2.9,2.1,1.4,1,0.4,1.7,15.1,0,0,0.1
DeAndre Jordan,BKN ,32,57,37,20,21.9,7.5,3.3,4.4,76.3,0,0,0,0.8,1.6,50,2.1,5.4,7.5,1.6,1.5,0.3,1.1,2,21.7,6,0,-0.7
De'Anthony Melton,MEM ,23,52,27,25,20.1,9.1,3.3,7.6,43.8,1.7,4.1,41.2,0.8,1,80.4,0.6,2.5,3.1,2.5,1.3,1.2,0.6,1.6,20.6,1,0,2.3
De'Andre Hunter,ATL ,23,23,12,11,29.5,15,5.2,10.8,48.4,1.3,4.1,32.6,3.2,3.7,85.9,0.7,4,4.8,1.9,1.3,0.8,0.5,2.6,26.3,1,0,3.7
De'Aaron Fox,SAC ,23,58,24,34,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,0.6,2.9,3.5,7.2,3,1.5,0.5,2.9,43.1,11,0,-3.4
Davis Bertans,WAS ,28,57,29,28,25.7,11.5,3.4,8.4,40.4,3,7.5,39.5,1.8,2,87,0.3,2.6,2.9,0.9,0.6,0.6,0.2,2.4,18.2,0,0,1.9
